epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,96.1499,1.62093,1.79217,1.08512,0.57383,0.26668,0.29644,0.16656,1.49781,1.30349,1.00678,0.0099845,0.00332817,0.0099845,0.00332817,0.0099845,0.00332817,0.0099845,0.00332817
2,183.361,1.59008,1.23601,1.05438,0.41899,0.2856,0.27506,0.14657,1.58636,1.26828,1.01666,0.0197866,0.00659555,0.0197866,0.00659555,0.0197866,0.00659555,0.0197866,0.00659555
3,267.512,1.6393,1.22047,1.07524,0.45225,0.26721,0.26892,0.13754,1.62181,1.25107,1.06277,0.0293908,0.00979693,0.0293908,0.00979693,0.0293908,0.00979693,0.0293908,0.00979693
4,353.831,1.65355,1.18625,1.08082,0.47942,0.31867,0.31925,0.17256,1.5164,1.11958,1.0142,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,428.597,1.59923,1.1188,1.06216,0.54504,0.3224,0.34986,0.18598,1.48551,1.04569,0.99975,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,500.388,1.56247,1.0779,1.05009,0.49757,0.35787,0.36859,0.19763,1.45854,1.03925,1.00008,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,572.594,1.53256,1.04177,1.03876,0.49383,0.37877,0.38038,0.20716,1.45863,1.03489,0.99825,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,647.967,1.51405,1.01877,1.02974,0.54326,0.35214,0.37816,0.20562,1.42565,0.98514,0.98524,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,728.992,1.49446,1.00063,1.02304,0.55122,0.36961,0.40137,0.21603,1.41356,0.97597,0.97704,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,806.564,1.48655,0.98364,1.01851,0.57121,0.37056,0.41384,0.22921,1.40278,0.94763,0.97766,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,893.547,1.47677,0.97819,1.01483,0.59595,0.37817,0.41728,0.23598,1.39012,0.92716,0.97245,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,978.037,1.45642,0.95554,1.00667,0.54002,0.37882,0.40856,0.22381,1.38182,0.92763,0.96715,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1063.26,1.44701,0.94223,1.00438,0.58199,0.37545,0.41853,0.2331,1.36453,0.91718,0.95941,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1148.2,1.4367,0.93637,1.00035,0.61572,0.38795,0.44367,0.2509,1.36337,0.90816,0.96433,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1231.81,1.42811,0.92798,0.99633,0.56084,0.39044,0.42628,0.23793,1.36194,0.89971,0.9602,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1314.12,1.41823,0.91971,0.99477,0.58181,0.40317,0.43445,0.24244,1.3405,0.88504,0.95549,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1394.47,1.41726,0.91021,0.9914,0.54566,0.41093,0.43391,0.24677,1.34088,0.88152,0.95154,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1479.15,1.40521,0.90312,0.98686,0.61705,0.40733,0.44948,0.25856,1.3397,0.87749,0.95701,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1564.67,1.40688,0.8994,0.98792,0.58437,0.41191,0.44759,0.25013,1.33882,0.86973,0.95752,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1646.05,1.39803,0.89224,0.98344,0.65408,0.39314,0.45172,0.25341,1.32771,0.86457,0.95217,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1727.62,1.39012,0.88705,0.98088,0.5866,0.40838,0.44775,0.25201,1.31692,0.85986,0.94891,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1812.14,1.38257,0.87923,0.97928,0.605,0.42101,0.46165,0.26124,1.31831,0.85796,0.94786,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1896.24,1.38198,0.88156,0.98084,0.6033,0.40023,0.45061,0.25606,1.31978,0.85443,0.9499,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1982.69,1.37887,0.87383,0.97592,0.60343,0.42358,0.45447,0.25685,1.30538,0.85023,0.94316,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2068.18,1.38008,0.87167,0.97601,0.60844,0.417,0.46618,0.26278,1.30944,0.84585,0.94434,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2152.02,1.36155,0.86145,0.97432,0.5684,0.43296,0.45609,0.25877,1.30731,0.8429,0.94292,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2236.19,1.36658,0.85983,0.97061,0.60755,0.41429,0.46235,0.26019,1.3039,0.83507,0.94341,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2321.42,1.35932,0.85268,0.96964,0.57085,0.41984,0.46571,0.26338,1.30001,0.83169,0.9398,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2403.75,1.3589,0.8529,0.96905,0.62492,0.42874,0.4668,0.26481,1.29849,0.82633,0.93806,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2484.8,1.35628,0.85196,0.96751,0.61568,0.43388,0.47574,0.26812,1.29235,0.8295,0.9393,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2568.71,1.35414,0.84756,0.96702,0.63721,0.41575,0.46649,0.2663,1.29229,0.82561,0.9376,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2651.92,1.34718,0.8409,0.96585,0.62734,0.43571,0.48004,0.27504,1.29014,0.82026,0.93622,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2735.15,1.34556,0.83821,0.96404,0.65718,0.41485,0.47336,0.27413,1.28875,0.81619,0.93659,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2819.48,1.33821,0.83597,0.96285,0.62182,0.43215,0.47908,0.26836,1.29155,0.81487,0.93764,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2904.68,1.33933,0.83304,0.9632,0.61138,0.43161,0.477,0.27256,1.28978,0.81498,0.94098,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2988.47,1.33079,0.8273,0.9588,0.62877,0.42617,0.47805,0.2722,1.28282,0.8131,0.936,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3072.18,1.3321,0.82599,0.95879,0.59665,0.45782,0.48652,0.27577,1.28209,0.81189,0.93548,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3156.01,1.33455,0.82773,0.96002,0.59895,0.4602,0.48522,0.2751,1.28002,0.80496,0.93401,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3239.52,1.32182,0.81997,0.95683,0.63447,0.43873,0.4858,0.27777,1.26962,0.80606,0.93013,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3323.15,1.3262,0.82272,0.95676,0.61453,0.44794,0.48728,0.27966,1.27054,0.80562,0.93169,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3407.34,1.32334,0.81741,0.95549,0.6418,0.43159,0.48497,0.27961,1.27317,0.80326,0.93218,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3491.69,1.32223,0.81621,0.95515,0.64764,0.42812,0.48831,0.2794,1.26832,0.79914,0.9301,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
