epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,95.2607,1.64308,1.81142,1.0975,0.5453,0.30576,0.31756,0.17467,1.41727,1.30607,0.99056,0.00998512,0.00332837,0.00998512,0.00332837,0.00998512,0.00332837,0.00998512,0.00332837
2,179.245,1.57727,1.20222,1.04651,0.55255,0.31937,0.34616,0.1859,1.43941,1.13292,0.99384,0.0197873,0.00659576,0.0197873,0.00659576,0.0197873,0.00659576,0.0197873,0.00659576
3,273.386,1.60807,1.16555,1.06056,0.51629,0.32123,0.32358,0.17233,1.50997,1.18057,1.02823,0.0293914,0.00979714,0.0293914,0.00979714,0.0293914,0.00979714,0.0293914,0.00979714
4,356.33,1.60128,1.12462,1.06179,0.46992,0.35786,0.36856,0.196,1.42689,1.06287,0.99669,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,438.255,1.5579,1.06388,1.04578,0.50258,0.35391,0.36715,0.19664,1.43865,1.04697,1.00079,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,520.016,1.52256,1.02088,1.03201,0.55148,0.3707,0.39656,0.21929,1.39109,1.01617,0.98789,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,607.587,1.4978,0.99113,1.02368,0.54694,0.40849,0.42052,0.22792,1.36746,0.98092,0.97445,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,700.876,1.47782,0.96366,1.01433,0.62012,0.41806,0.4618,0.26167,1.33709,0.92898,0.96557,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,790.03,1.4558,0.94753,1.00708,0.59562,0.44253,0.46546,0.26425,1.31435,0.90777,0.95722,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,889.789,1.44413,0.92693,1.00259,0.64501,0.39757,0.45634,0.25963,1.30073,0.8965,0.95488,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,979.015,1.43456,0.92133,0.99905,0.57821,0.41941,0.46032,0.26117,1.29803,0.89189,0.95076,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1061.52,1.41568,0.90348,0.99441,0.5753,0.4348,0.4756,0.27145,1.28557,0.8674,0.94686,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1144.18,1.41257,0.89683,0.99063,0.57534,0.45297,0.47082,0.26534,1.28409,0.86531,0.94699,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1228.12,1.40057,0.88211,0.98895,0.65089,0.41556,0.47899,0.27033,1.29169,0.88305,0.94856,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1318.44,1.39519,0.87767,0.9851,0.65167,0.46077,0.50309,0.28292,1.27289,0.86237,0.94407,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1410.66,1.38706,0.86679,0.98236,0.61707,0.42549,0.48045,0.27459,1.2695,0.84642,0.94217,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1494.56,1.37984,0.86414,0.98006,0.68493,0.43623,0.50216,0.28685,1.26201,0.8545,0.93853,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1576.95,1.37593,0.85877,0.97838,0.65079,0.44666,0.50406,0.29363,1.25299,0.84859,0.93662,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1659.06,1.36738,0.85049,0.97331,0.64827,0.42986,0.49892,0.29,1.24902,0.83437,0.93617,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1742.54,1.3632,0.84404,0.97071,0.64695,0.46665,0.51331,0.29888,1.25373,0.82422,0.93479,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1832.01,1.35812,0.83807,0.97001,0.63401,0.49041,0.53043,0.30499,1.24556,0.8138,0.93438,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1917.43,1.35843,0.83689,0.9688,0.6296,0.49318,0.5302,0.30297,1.23623,0.80781,0.9285,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2001.65,1.35296,0.83279,0.96873,0.6339,0.48153,0.52008,0.30225,1.23667,0.80529,0.92962,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2086.54,1.34326,0.82394,0.96593,0.70221,0.44867,0.53167,0.30979,1.22918,0.80531,0.92831,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2196.75,1.33538,0.81843,0.96398,0.64266,0.48462,0.52526,0.30348,1.22803,0.79977,0.92888,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2290.06,1.33817,0.81644,0.96194,0.62866,0.48721,0.52691,0.30672,1.21933,0.79431,0.92586,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2380.53,1.33405,0.81223,0.96172,0.66813,0.46928,0.52872,0.30838,1.22206,0.79397,0.92549,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2471.76,1.33114,0.80756,0.95945,0.67605,0.48878,0.53731,0.31485,1.21371,0.78624,0.92265,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2572,1.32806,0.80887,0.96021,0.65039,0.48054,0.53259,0.31292,1.21403,0.78623,0.92266,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2672.11,1.31904,0.79949,0.95676,0.64705,0.49325,0.53397,0.31453,1.21037,0.79201,0.92016,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2772.28,1.31658,0.79775,0.95609,0.64596,0.49453,0.54218,0.31627,1.20789,0.77964,0.91983,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2872.33,1.31099,0.79455,0.95478,0.68518,0.49331,0.54507,0.32196,1.20981,0.77504,0.92059,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2972.48,1.31082,0.79358,0.95524,0.67127,0.48655,0.54944,0.32223,1.20232,0.77701,0.91714,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3072.55,1.30958,0.78897,0.95268,0.66082,0.49029,0.53982,0.31743,1.20281,0.7727,0.91785,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3173.13,1.30551,0.78627,0.95185,0.68261,0.48365,0.55703,0.3272,1.19904,0.7652,0.91808,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3273.14,1.29832,0.78511,0.94976,0.67385,0.49176,0.55332,0.32483,1.20074,0.7687,0.91694,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3374.27,1.29993,0.78048,0.95028,0.68245,0.49451,0.55382,0.33027,1.19685,0.76438,0.9163,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3475.42,1.29542,0.77633,0.9474,0.68415,0.49353,0.54914,0.32773,1.19272,0.76282,0.91349,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3575.27,1.29807,0.77731,0.94831,0.69462,0.4968,0.5532,0.32647,1.19685,0.7595,0.91723,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3675.86,1.29068,0.77167,0.94543,0.68792,0.48688,0.54893,0.32477,1.18985,0.75764,0.91215,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3775.92,1.29053,0.76996,0.94491,0.67489,0.48742,0.54892,0.32935,1.18892,0.75696,0.91244,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3876.67,1.28541,0.76896,0.94565,0.63939,0.52175,0.55554,0.33185,1.19108,0.75265,0.91342,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3976.83,1.28772,0.76626,0.94314,0.66844,0.49356,0.5508,0.32898,1.18965,0.75108,0.91357,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4077.37,1.28346,0.76533,0.94378,0.64348,0.52203,0.54991,0.33018,1.18641,0.74415,0.9122,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4177.17,1.2809,0.76219,0.94263,0.70022,0.50136,0.56414,0.33522,1.18727,0.75035,0.91303,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
